"CODUSU","NRO_HOGAR","COMPONENTE","imp"
"TQRMNORSXHKOLPCDEHIBB00790061",1,2,1
"TQRMNOTRSHJNMOCDEFKID00794160",1,1,3
"TQRMNOTRSHJNMOCDEFKID00794160",1,3,3
"TQRMNOPWRHJMMPCDEFKID00794161",1,1,4
"TQRMNOPPXHLMKUCDEIHJF00779696",1,1,2
"TQRMNOPWYHJOKTCDEIHJF00794163",1,2,12
"TQRMNOSRSHJOKTCDEIHJF00794164",1,1,3
"TQRMNOPWRHMNQUCDEIJAH00718797",1,1,6
"TQRMNOUPTHKKQTCDEIJAH00791905",1,1,12
"TQRMNOQTWHMLRTCDEIJAH00709209",1,1,3
"TQRMNOQVTHJMLPCDEIKAH00794117",1,4,9
"TQRMNOPWSHLOLPCDEHIBB00717024",1,1,0
"TQRMNOPWSHLOLPCDEHIBB00717024",1,2,0
"TQRMNORPRHMNLQCDEHIBB00712814",1,3,1
"TQRMNOUVYHJOLQCDEHIBB00794141",1,1,1
"TQRMNOQWQHKOKUCDEIHJF00791186",1,1,3
"TQRMNOQWQHKOKUCDEIHJF00791186",1,2,4
"TQRMNOPWVHJLLNCDEGPDJ00794165",1,1,1
"TQRMNOPWVHJLLNCDEGPDJ00794165",1,2,4
"TQRMNOQUYHLMLNCDEGPDJ00716924",1,1,2
"TQRMNOSRRHKOLPCDEGPDJ00794166",1,1,1
"TQRMNOSRRHKOLPCDEGPDJ00794166",1,2,3
"TQRMNOSRUHKOLPCDEGPDJ00789817",1,1,0
"TQRMNORSVHMOKMCDEGOIH00711268",1,1,4
"TQRMNOPYPHLOKNCDEGOIH00716734",1,1,4
"TQRMNOPYPHLOKNCDEGOIH00716734",1,3,2
"TQRMNOPWYHJMKOCDEGOIH00794099",1,1,4
"TQRMNOPXVHJMKOCDEGOIH00794100",1,2,9
"TQRMNORXXHLLLUCDEIKAH00719834",1,1,7
"TQRMNOSRVHJNLTCDEIKAH00794120",1,1,8
"TQRMNOQVQHJKLMCDEHJGH00794121",1,1,3
"TQRMNOQRVHKMKSCDEIOAH00792786",1,2,2
"TQRMNOPYTHLOKNCDEGOIH00716673",1,1,2
"TQSMNOPUYHKNKMCDEGJBF00789081",1,1,7
"TQRMNOSYXHJOKMCDEGJBF00794142",1,1,8
"TQRMNOSYXHJOKMCDEGJBF00794142",1,2,7
"TQRMNOSYXHJOKMCDEGJBF00794142",1,3,8
"TQRMNOSYXHJOKMCDEGJBF00794142",1,4,14
"TQRMNOPUUHJNKNCDEGJBF00794143",1,1,6
"TQRMNOPUUHJNKNCDEGJBF00794143",1,2,10
"TQRMNORWRHKKKOCDEHNHB00790592",1,1,6
"TQRMNORTTHKMKNCDEHNHB00790735",1,1,6
"TQRMNOSSUHLMLSCDEFLID00715114",1,1,6
"TQRMNOPQXHJOKQCDEGOIH00794168",1,1,4
"TQRMNOPQXHJOKQCDEGOIH00794168",1,2,6
"TQRMNOPQXHJOKQCDEGOIH00794168",1,3,3
"TQRMNOPQXHJOKQCDEGOIH00794168",1,5,4
"TQRMNOPQXHJOKQCDEGOIH00794168",1,6,5
"TQRMNOPXVHJMKOCDEGOIH00794100",1,3,5
"TQRMNOQTXHMOKUCDEIHJF00714416",2,1,6
"TQRMNOQSYHLMKTCDEHMHF00717478",1,1,3
"TQRMNOQSYHLMKTCDEHMHF00717478",1,2,2
"TQRMNORUUHJMKSCDEGNFJ00794101",1,1,3
"TQRMNOQQRHMNLMCDEGNFJ00789556",1,1,4
"TQRMNOUPUHJLKTCDEHPJB00794103",1,1,0
"TQSMNOPQWHKMLSCDEGGFB00788659",1,1,4
"TQSMNOPQWHKMLSCDEGGFB00788659",1,2,4
"TQRMNOPQYHLOKPCDEGOIH00716730",1,1,0
"TQRMNOPQYHLOKPCDEGOIH00716730",1,2,1
"TQRMNOQUSHLOKMCDEHGHJ00716985",1,1,2
"TQRMNORPPHLNLOCDEFMDB00715250",1,1,6
"TQRMNORPPHLNLOCDEFMDB00715250",1,2,9
"TQSMNOQPXHKNKMCDEGKDB00789195",1,1,2
"TQSMNORYWHLOKUCDEGIBJ00715891",1,2,3
"TQRMNOQVWHKOKSCDEGIBJ00788819",1,1,2
"TQRMNOPYXHJOLLCDEGIBJ00794145",1,1,2
"TQRMNOPYXHJOLLCDEGIBJ00794145",1,2,4
"TQRMNOQPQHJOLLCDEGIBJ00794146",1,1,8
"TQRMNOQXRHMKKSCDEGIBJ00715988",1,1,1
"TQRMNOQYSHMKKSCDEGOIH00713223",1,1,3
"TQRMNOSSWHKOKSCDEGKDB00789333",1,1,8
"TQRMNOSSWHKOKSCDEGKDB00789333",1,2,11
"TQRMNOPXPHJOKUCDEGKDB00794171",1,2,2
"TQRMNOQXXHJOKUCDEGKDB00794172",1,1,8
"TQRMNORRSHKMLTCDEGGFB00788562",1,1,8
"TQRMNOPRWHKKKOCDEGGFB00788566",1,1,2
"TQRMNOQTYHMMLQCDEHMHF00714190",2,1,1
"TQRMNOQQYHKNKPCDEGKDB00789350",1,1,5
"TQRMNORPWHMOKNCDEFLID00712777",1,2,11
"TQRMNORPWHMOKNCDEFLID00712777",1,4,10
"TQRMNORPWHMOKNCDEFLID00712777",1,5,13
"TQRMNORVWHJOKOCDEFLID00794122",1,3,6
"TQRMNOPVTHJOKPCDEFLID00794123",1,1,4
"TQRMNOPXSHJLLMCDEGIBJ00794147",1,1,1
"TQRMNOPXSHJLLMCDEGIBJ00794147",1,2,4
"TQRMNOQRRHLMLOCDEGIBJ00794148",1,1,2
"TQRMNORWVHLMLOCDEGIBJ00715941",2,2,4
"TQRMNOQTYHKMLLCDEGIBJ00788838",1,2,8
"TQRMNOSQUHKLKTCDEFMDB00787926",1,1,7
"TQRMNOSQUHKLKTCDEFMDB00787926",1,2,13
"TQRMNOSPUHKMKNCDEFMDB00787914",1,1,5
"TQRMNOPSPHLMKTCDEGKDB00716302",1,1,6
"TQRMNORRYHLMKUCDEGKDB00716305",1,1,9
"TQRMNOPTQHJNKMCDEHGHJ00794104",1,1,6
"TQRMNOTUTHLLKOCDEHGHJ00716967",1,1,4
"TQRMNOSSYHJOKTCDEFMDB00794106",1,1,6
"TQRMNOSSPHJOLQCDEGJBF00794107",1,1,4
"TQRMNOSSPHJOLQCDEGJBF00794107",1,2,12
"TQRMNOPYRHKNKRCDEFLID00794124",1,1,8
"TQRMNOPYRHKNKRCDEFLID00794124",1,2,10
"TQRMNORWYHJMKSCDEFLID00794125",1,1,6
"TQRMNOPXUHJKKUCDEFLID00794126",1,1,6
"TQRMNOQPWHKLKTCDEFLID00794127",1,1,11
"TQRMNORYPHKOLLCDEHPJB00790787",1,1,2
"TQRMNORYPHKOLLCDEHPJB00790787",1,2,3
"TQRMNORYPHKOLLCDEHPJB00790787",1,3,1
"TQRMNOSPUHKMKNCDEFMDB00787914",1,2,11
"TQRMNOQTSHLNRMCDEIJAH00780203",2,1,6
"TQRMNORPUHKMQRCDEIJAH00792033",1,1,6
"TQRMNORXXHLMLLCDEGJBF00716274",1,1,2
"TQRMNOQYRHMMLPCDEGJBF00712680",1,4,13
"TQRMNORSRHLLLOCDEGJBF00794151",1,1,5
"TQRMNOPXTHMOLRCDEGJBF00713123",1,1,5
"TQRMNORVTHJKLNCDEGKDB00794174",1,1,9
"TQRMNORVTHJKLNCDEGKDB00794174",1,2,9
"TQRMNOPSUHKNKQCDEGKDB00789306",1,1,8
"TQRMNOSQQHKOKNCDEGKDB00789266",1,1,5
"TQRMNOSQQHKOKNCDEGKDB00789266",1,2,5
"TQRMNOSSRHJOLQCDEGJBF00794108",1,1,6
"TQRMNOSVRHKMLPCDEGJBF00789088",1,1,6
"TQRMNOQPTHJMLRCDEGJBF00794109",1,1,8
"TQRMNOSRTHJMLRCDEGJBF00794111",1,1,5
"TQRMNOQRUHKOMNCDEFKID00787671",1,1,6
"TQRMNOQRUHKOMNCDEFKID00787671",1,3,14
"TQRMNOSXPHJMKRCDEGGFB00794128",1,1,2
"TQRMNOQXPHKOKQCDEGNFJ00789551",1,1,10
"TQRMNORUVHJMKSCDEGNFJ00794130",1,1,2
"TQRMNOPXTHMOLRCDEGJBF00713123",1,3,10
"TQRMNOPXTHMOLRCDEGJBF00713123",1,4,6
"TQRMNOTUQHJMLRCDEFKID00794152",1,1,6
"TQRMNOTUQHJMLRCDEFKID00794152",1,2,8
"TQRMNOPPSHKMLSCDEFKID00787579",1,1,4
"TQRMNOPPSHKMLSCDEFKID00787579",1,2,6
"TQRMNOTWRHKNLTCDEFKID00787661",1,1,0
"TQRMNORUXHLOLSCDEFKID00776156",1,1,6
"TQRMNORXYHMMKSCDEGLDF00712464",1,2,10
"TQRMNORXYHKOKOCDEGKDB00789156",2,1,1
"TQRMNORXYHKOKOCDEGKDB00789156",2,2,8
"TQRMNOQRVHMLKMCDEGLDF00713627",1,1,6
"TQRMNOQRVHMLKMCDEGLDF00713627",1,4,5
"TQRMNOUXPHKLKNCDEGLDF00789418",1,3,5
"TQRMNOSRTHJMLRCDEGJBF00794111",1,2,6
"TQRMNORVPHMMLUCDEGJBF00713610",1,1,6
"TQRMNORVPHMMLUCDEGJBF00713610",1,2,12
"TQSMNOQVTHLMLTCDEGJBF00716239",1,3,8
"TQSMNOQVTHLMLTCDEGJBF00716239",1,4,13
"TQRMNOPXPHJLLSCDEGJBF00794112",1,1,7
"TQRMNOPXPHJLLSCDEGJBF00794112",1,2,11
"TQRMNOPRUHKMLSCDEGJBF00788920",1,1,7
"TQRMNORVQHMNKSCDEIGED00709686",1,1,3
"TQRMNORVQHMNKSCDEIGED00709686",1,2,10
"TQRMNOPUYHLLKUCDEIGED00718018",1,1,12
"TQRMNOPUYHLLKUCDEIGED00718018",1,2,10
"TQRMNOQQWHMOLPCDEHIBB00709453",1,2,7
"TQRMNORTRHKNMOCDEIJAH00792164",1,9,5
"TQRMNOSURHMOKOCDEFJAH00710016",1,1,7
"TQRMNOSUTHMOKOCDEFJAH00710549",1,1,9
"TQRMNOQPQHLMKQCDEFJAH00714678",1,2,5
"TQRMNOPUTHJOLQCDEFPCH00796751",1,2,3
"TQRMNORYQHJOLQCDEFPCH00796753",1,1,4
"TQRMNORYQHJOLQCDEFPCH00796753",1,2,8
"TQRMNOQPYHLOKMCDEOHCH00720238",1,1,4
"TQRMNOQPYHLOKMCDEOHCH00720238",1,2,1
"TQRMNOSWRHJKKMCDEOHCH00796754",1,1,1
"TQRMNOPXRHKMLLCDEOJAH00792986",1,1,3
"TQRMNOPXRHKMLLCDEOJAH00792986",1,2,3
"TQRMNOPUTHMMLNCDEFNFF00715413",1,2,4
"TQRMNOSRYHMOLPCDEFNFF00709631",1,1,5
"TQRMNOQQUHMNLQCDEFNFF00709368",1,4,4
"TQRMNOPXYHMOLMCDEIMBF00710007",1,1,5
"TQRMNOPXYHMOLMCDEIMBF00710007",1,8,6
"TQRMNOPWUHLMKPCDEHLEH00778820",1,1,2
"TQRMNOPWUHLMKPCDEHLEH00778820",1,2,1
"TQRMNOPWUHLMKPCDEHLEH00778820",1,3,7
"TQRMNOPQPHMMKOCDEHLEH00709999",1,1,4
"TQRMNOQXVHJKKMCDEHJGH00796843",1,1,0
"TQRMNOQXVHJKKMCDEHJGH00796843",1,2,5
"TQRMNOSPVHMLKRCDEIIAD00791370",1,1,10
"TQRMNOPTWHLLLNCDEIIAD00718592",1,1,9
"TQRMNOUPSHJOKMCDEGJBF00796873",1,4,11
"TQRMNOPQWHJLKUCDEIMBF00796874",1,1,2
"TQRMNOPRPHJLKUCDEIMBF00796875",1,1,4
"TQRMNOUSSHJMLLCDEIMBF00796876",1,1,6
"TQRMNOSXUHMKLNCDEIMBF00719896",1,1,8
"TQRMNOPYVHKMLNCDEIJAH00792152",1,2,14
"TQRMNOQYRHKMLNCDEIJAH00792090",1,1,5
"TQRMNOQYRHKMLNCDEIJAH00792090",1,2,9
"TQRMNOSYWHLKMQCDEIIAD00796911",1,2,13
"TQRMNORVXHKKMSCDEIIAD00791450",1,1,8
"TQRMNOQRTHJMLPCDEIIAD00796912",1,1,11
"TQRMNORRUHKMLTCDEIKAH00792461",1,1,7
"TQRMNORXWHLLLUCDEIKAH00719775",1,1,1
"TQRMNOQPWHMNLUCDEIKAH00710807",1,3,9
"TQRMNOPPYHMOKMCDEHPJB00709404",1,1,3
"TQRMNOSPXHMOKMCDEHPJB00710299",1,1,3
"TQRMNOQUSHJOKOCDEHPJB00796967",1,2,1
"TQSMNOSRYHJOKOCDEHPJB00796968",1,1,0
"TQRMNOQPUHKKKUCDEHPJB00796605",1,1,2
"TQRMNOPRRHJNKMCDEIGED00796606",1,1,8
"TQRMNOQQXHKOKMCDEGPDJ00789838",1,2,9
"TQRMNOPUYHMOKQCDEGPDJ00708705",1,2,2
"TQRMNOQSVHLLKRCDEGPDJ00778236",1,1,4
"TQRMNOQSVHLLKRCDEGPDJ00778236",1,2,2
"TQRMNOPTRHKLKTCDEGPDJ00789797",1,1,3
"TQRMNOPTRHKLKTCDEGPDJ00789797",1,2,2
"TQRMNOPTSHKLKTCDEGPDJ00789786",1,1,1
"TQRMNOQUVHJOKOCDEGJBF00796637",1,2,5
"TQRMNOSTVHJOKOCDEGJBF00796638",1,2,6
"TQRMNOQQVHLOKNCDEGJBF00716161",1,1,5
