"CODUSU","NRO_HOGAR","COMPONENTE","imp"
"TQRMNOQRTHJMLPCDEIIAD00796912",1,1,7
"TQRMNORRUHKMLTCDEIKAH00792461",1,1,8
"TQRMNORXWHLLLUCDEIKAH00719775",1,1,7
"TQRMNOQPWHMNLUCDEIKAH00710807",1,3,6
"TQRMNOPPYHMOKMCDEHPJB00709404",1,1,0
"TQRMNOSPXHMOKMCDEHPJB00710299",1,1,2
"TQRMNOQUSHJOKOCDEHPJB00796967",1,2,0
"TQSMNOSRYHJOKOCDEHPJB00796968",1,1,0
"TQRMNOQPUHKKKUCDEHPJB00796605",1,1,1
"TQRMNOPRRHJNKMCDEIGED00796606",1,1,4
"TQRMNOQQXHKOKMCDEGPDJ00789838",1,2,8
"TQRMNOPUYHMOKQCDEGPDJ00708705",1,2,6
"TQRMNOQSVHLLKRCDEGPDJ00778236",1,1,3
"TQRMNOQSVHLLKRCDEGPDJ00778236",1,2,3
"TQRMNOPTRHKLKTCDEGPDJ00789797",1,1,3
"TQRMNOPTRHKLKTCDEGPDJ00789797",1,2,0
"TQRMNOPTSHKLKTCDEGPDJ00789786",1,1,0
"TQRMNOQUVHJOKOCDEGJBF00796637",1,2,9
"TQRMNOSTVHJOKOCDEGJBF00796638",1,2,5
"TQRMNOQQVHLOKNCDEGJBF00716161",1,1,4
"TQRMNOQQVHLOKNCDEGJBF00716161",1,2,6
"TQRMNOQQVHLOKNCDEGJBF00716161",1,8,9
"TQRMNORQXHJOMMCDEFIAH00796671",1,1,6
"TQRMNORQXHJOMMCDEFIAH00796671",1,2,9
"TQRMNOPQXHLLKMCDEFJAH00775799",1,1,6
"TQRMNOVRWHKOKPCDEGOIH00789763",1,1,4
