"CODUSU","NRO_HOGAR","COMPONENTE","imp"
"TQSMNOQVTHLMLTCDEGJBF00716239",1,3,10
"TQSMNOQVTHLMLTCDEGJBF00716239",1,4,7
"TQRMNOPXPHJLLSCDEGJBF00794112",1,1,8
"TQRMNOPXPHJLLSCDEGJBF00794112",1,2,12
"TQRMNOPRUHKMLSCDEGJBF00788920",1,1,4
"TQRMNORVQHMNKSCDEIGED00709686",1,1,7
"TQRMNORVQHMNKSCDEIGED00709686",1,2,6
"TQRMNOPUYHLLKUCDEIGED00718018",1,1,9
"TQRMNOPUYHLLKUCDEIGED00718018",1,2,5
"TQRMNOQQWHMOLPCDEHIBB00709453",1,2,5
"TQRMNORTRHKNMOCDEIJAH00792164",1,9,10
"TQRMNOSURHMOKOCDEFJAH00710016",1,1,5
"TQRMNOSUTHMOKOCDEFJAH00710549",1,1,6
"TQRMNOQPQHLMKQCDEFJAH00714678",1,2,4
"TQRMNOPUTHJOLQCDEFPCH00796751",1,2,0
"TQRMNORYQHJOLQCDEFPCH00796753",1,1,6
"TQRMNORYQHJOLQCDEFPCH00796753",1,2,7
"TQRMNOQPYHLOKMCDEOHCH00720238",1,1,0
"TQRMNOQPYHLOKMCDEOHCH00720238",1,2,3
"TQRMNOSWRHJKKMCDEOHCH00796754",1,1,6
"TQRMNOPXRHKMLLCDEOJAH00792986",1,1,5
"TQRMNOPXRHKMLLCDEOJAH00792986",1,2,4
"TQRMNOPUTHMMLNCDEFNFF00715413",1,2,1
"TQRMNOSRYHMOLPCDEFNFF00709631",1,1,2
"TQRMNOQQUHMNLQCDEFNFF00709368",1,4,5
"TQRMNOPXYHMOLMCDEIMBF00710007",1,1,3
"TQRMNOPXYHMOLMCDEIMBF00710007",1,8,7
"TQRMNOPWUHLMKPCDEHLEH00778820",1,1,4
"TQRMNOPWUHLMKPCDEHLEH00778820",1,2,2
"TQRMNOPWUHLMKPCDEHLEH00778820",1,3,1
"TQRMNOPQPHMMKOCDEHLEH00709999",1,1,0
"TQRMNOQXVHJKKMCDEHJGH00796843",1,1,1
"TQRMNOQXVHJKKMCDEHJGH00796843",1,2,2
"TQRMNOSPVHMLKRCDEIIAD00791370",1,1,5
"TQRMNOPTWHLLLNCDEIIAD00718592",1,1,6
"TQRMNOUPSHJOKMCDEGJBF00796873",1,4,5
"TQRMNOPQWHJLKUCDEIMBF00796874",1,1,3
"TQRMNOPRPHJLKUCDEIMBF00796875",1,1,6
"TQRMNOUSSHJMLLCDEIMBF00796876",1,1,6
"TQRMNOSXUHMKLNCDEIMBF00719896",1,1,7
"TQRMNOPYVHKMLNCDEIJAH00792152",1,2,17
"TQRMNOQYRHKMLNCDEIJAH00792090",1,1,11
"TQRMNOQYRHKMLNCDEIJAH00792090",1,2,11
"TQRMNOSYWHLKMQCDEIIAD00796911",1,2,13
"TQRMNORVXHKKMSCDEIIAD00791450",1,1,8
"TQRMNOQRTHJMLPCDEIIAD00796912",1,1,8
"TQRMNORRUHKMLTCDEIKAH00792461",1,1,5
"TQRMNORXWHLLLUCDEIKAH00719775",1,1,1
"TQRMNOQPWHMNLUCDEIKAH00710807",1,3,10
